California County,census_tract,hispanic,white,african_american,native_american,asian_american,other,unemployment,poverty,ces_pollution_score,ozone,pesticides,tox_release,asthma,cardiovascular_disease,low_birth_weight
Los Angeles,6037434001.0,87.3,2.9,0.3,0.1,9.1,0.3,14.3,63.6,66.54,0.05,16.71,8051.796181000002,56.43,7.38,5.13
Los Angeles,6037122122.0,80.3,12.6,4.4,0.3,1.7,0.6,14.8,55.4,66.51,0.055,0.0,1100.164818,77.04,8.41,5.0
Stanislaus ,6099001500.0,54.9,31.0,4.6,0.4,6.4,2.7,25.0,54.6,66.48,0.053,1528.52,564.7514342000002,83.51,13.4,4.38
Los Angeles,6037242600.0,59.9,0.9,38.2,0.1,0.2,0.7,39.7,88.1,66.48,0.044000000000000004,0.0,5631.459453,105.29,11.72,7.05
San Joaquin,6077000900.0,49.6,30.6,6.7,0.9,8.5,3.6,22.5,57.3,66.46,0.048,0.36,826.3113751,149.5,12.31,7.32
Los Angeles,6037228900.0,86.1,0.5,9.8,0.2,2.9,0.5,13.5,84.8,66.42,0.046,0.0,5940.839994,76.55,10.27,7.2
Los Angeles,6037433302.0,82.6,3.3,0.3,0.3,13.1,0.4,14.4,78.4,66.41,0.05,0.0,7081.275742,67.93,8.58,4.63
Stanislaus ,6099002402.0,83.1,12.9,0.8,0.2,1.4,1.7,24.9,82.2,66.28,0.053,624.55,668.6804943,84.77,12.16,5.9
San Bernardino,6071005600.0,73.8,8.5,13.4,0.1,2.9,1.2,19.5,84.6,66.14,0.065,0.0,839.7930723,119.54,15.77,7.48
Fresno ,6019003001.0,48.8,12.2,5.9,1.2,30.0,1.9,12.6,57.2,66.11,0.065,0.63,2236.343215,75.44,10.71,6.61
Los Angeles,6037402304.0,90.0,3.8,2.7,0.3,2.8,0.5,22.8,74.3,66.06,0.057,0.0,8587.711815999999,77.44,9.0,4.69
Los Angeles,6037122420.0,79.9,9.3,3.1,0.1,6.4,1.2,9.8,57.4,66.04,0.055,0.0,1156.0961929999999,71.23,12.13,7.22
Los Angeles,6037536103.0,94.6,3.7,0.5,0.3,0.6,0.2,12.3,42.3,66.03,0.044000000000000004,0.03,7030.105063,46.23,11.83,5.48
Los Angeles,6037199700.0,69.4,11.0,0.8,0.2,18.0,0.6,12.4,66.4,66.03,0.046,0.0,5566.077134,45.01,5.94,6.56
Kern ,6029002100.0,83.4,4.8,9.7,1.0,0.3,0.9,22.2,71.6,66.0,0.065,0.0,45.75489149,89.83,11.77,7.65
Los Angeles,6037219902.0,72.2,3.5,20.6,0.1,1.7,1.8,10.9,54.6,65.96,0.046,0.24,1939.803289,83.36,8.56,6.46
Los Angeles,6037206300.0,24.9,16.7,52.8,1.0,2.3,2.2,41.1,94.9,65.94,0.046,0.0,6440.180577,90.55,5.06,9.89
Los Angeles,6037123206.0,85.0,8.7,2.4,0.1,3.2,0.6,10.4,64.6,65.93,0.055,0.0,1257.9864710000004,61.15,11.23,6.25
San Joaquin,6077000600.0,74.6,6.0,5.5,0.7,11.5,1.8,14.9,80.6,65.82,0.046,0.11,637.8737156000002,90.94,12.43,7.01
Riverside ,6065030104.0,62.1,18.7,8.7,0.3,8.5,1.7,19.1,44.9,65.81,0.065,0.0,1098.770327,102.96,11.82,5.59
San Bernardino,6071004004.0,71.0,20.6,3.3,0.3,3.5,1.3,13.8,54.9,65.79,0.065,0.01,1073.38959,55.09,9.0,6.69
Los Angeles,6037540901.0,64.4,1.8,32.2,0.1,0.4,1.1,15.4,58.5,65.75,0.044000000000000004,0.0,5497.891787,81.72,10.17,8.61
Los Angeles,6037532603.0,98.0,0.9,0.1,0.1,0.6,0.4,15.6,77.0,65.7,0.046,0.0,6614.764952,59.17,11.01,5.56
Kern ,6029002400.0,70.8,18.4,5.3,0.6,3.1,1.8,17.5,62.8,65.67,0.065,314.73,173.7907491,89.83,11.77,4.55
Riverside ,6065042505.0,80.1,8.9,6.8,0.2,2.4,1.6,20.5,74.2,65.65,0.065,0.0,891.1838743999997,58.11,8.7,6.98
